idx,token_len,time_spent,token_per_sec
0,55,0.5274507999420166,104.27512861113534
1,972,6.727869987487793,144.4736598370189
2,286,1.8726911544799805,152.72139205432308
3,253,1.6686944961547852,151.61552973476827
4,354,2.3272805213928223,152.10886558193656
5,807,5.545758962631226,145.51660204451312
6,283,2.0246527194976807,139.77705770212916
7,362,2.406426429748535,150.43052865648087
8,422,2.814229965209961,149.9522090294124
9,396,2.7822160720825195,142.33258299869917
10,431,2.945458173751831,146.3269802439618
11,416,3.111994981765747,133.6763081038008
12,115,0.7808680534362793,147.2720000439668
13,949,6.498844623565674,146.02595614592784
14,295,1.9829938411712646,148.7649602712618
15,535,3.8467087745666504,139.07993335426602
16,448,3.0973472595214844,144.63990068366195
17,379,2.5827693939208984,146.74171100681994
18,563,3.8385844230651855,146.66865123951953
19,486,3.465466022491455,140.24087867137595
20,45,0.3671853542327881,122.55390766885247
21,959,6.731988191604614,142.45420115203976
22,70,0.4916880130767822,142.36670030243093
23,653,4.5675787925720215,142.9641457005481
24,537,3.9088213443756104,137.38156663841582
25,692,4.965625524520874,139.358072126627
26,630,4.43191385269165,142.1507775060609
27,267,2.029721975326538,131.54510974688813
28,563,4.152389764785767,135.5845746404894
29,132,1.054847002029419,125.13663094841749
30,220,1.5716824531555176,139.97738509983293
31,964,6.922768592834473,139.25064619346142
32,193,1.600127935409546,120.61535564067411
33,282,1.9423720836639404,145.1833056970511
34,601,4.209610462188721,142.76855433495848
35,346,2.465219259262085,140.35262733732185
36,715,5.310899257659912,134.62880113358491
37,284,1.950211763381958,145.62521123731796
38,281,1.9419317245483398,144.70127679970614
39,375,2.5650038719177246,146.19860971969268
40,26,0.1977074146270752,131.50746040072596
41,119,0.8801045417785645,135.21120997684906
42,599,4.237838983535767,141.34562505256744
43,271,1.986896276473999,136.3936322236831
44,619,4.2857537269592285,144.43200413178775
45,92,0.6423828601837158,143.21677258588252
46,317,2.1738786697387695,145.82230573065664
47,967,6.951560974121094,139.10544748149326
48,361,2.4650585651397705,146.4468248767676
49,179,1.2985968589782715,137.841084985248
50,63,0.455608606338501,138.276580212783
51,404,2.76851224899292,145.92675186716616
52,325,2.228416919708252,145.8434447906407
53,138,0.9879403114318848,139.6845521972758
54,216,1.6028504371643066,134.75992206867275
55,183,1.3565986156463623,134.8962013445725
56,947,6.627449989318848,142.8905539123246
57,301,2.067983388900757,145.55242639545452
